Pnt,Average, Average (uV),Buffer1,Buffer1 (uV),Buffer2,Buffer2 (uV)
5.80,-80500,-600,-6862,-102,-73638,-1.097
5.85,-58867,-439,12278,183,-71145,-1.060
5.90,-22468,-167,33478,499,-55946,-834
5.95,-28819,-215,35824,534,-64643,-963
6.00,1271,9,46154,688,-44883,-669
06.05,15483,115,58490,872,-43007,-641
6.10,35818,267,80400,1.198,-44582,-664
6.15,42246,315,85608,1.276,-43362,-646
6.20,73504,548,111113,1.656,-37609,-560
6.25,101630,757,136101,2.028,-34471,-514
6.30,92148,687,119003,1.773,-26855,-400
6.35,96244,717,114778,1.710,-18534,-276
6.40,112684,840,124155,1.850,-11471,-171
6.45,106388,793,135355,2.017,-28967,-432
6.50,125950,938,149969,2.235,-24019,-358
6.55,118941,886,155255,2.314,-36314,-541
6.60,104785,781,158956,2.369,-54171,-807
6.65,94083,701,160357,2.390,-66274,-988
6.70,49945,372,129785,1.934,-79840,-1.190
6.75,-1122,-8,112158,1.671,-113280,-1.688
6.80,-46214,-344,93689,1.396,-139903,-2.085
6.85,-79627,-593,71696,1.068,-151323,-2.255
6.90,-117190,-873,53794,802,-170984,-2.548
6.95,-158138,-1.178,39056,582,-197194,-2.939
7.00,-200731,-1.496,11577,173,-212308,-3.164
07.05,-255477,-1.904,-29261,-436,-226216,-3.371
7.10,-285718,-2.129,-58284,-869,-227434,-3.389
7.15,-292107,-2.176,-65348,-974,-226759,-3.379
7.20,-296930,-2.212,-65836,-981,-231094,-3.444
7.25,-311006,-2.317,-72177,-1.076,-238829,-3.559
7.30,-297256,-2.215,-73073,-1.089,-224183,-3.341
7.35,-311296,-2.319,-88237,-1.315,-223059,-3.324
7.40,-319159,-2.378,-101928,-1.519,-217231,-3.237
7.45,-315071,-2.348,-111357,-1.659,-203714,-3.036
7.50,-296854,-2.212,-104779,-1.561,-192075,-2.862
7.55,-286504,-2.135,-91506,-1.364,-194998,-2.906
7.60,-287340,-2.141,-80817,-1.204,-206523,-3.078
7.65,-277672,-2.069,-74555,-1.111,-203117,-3.027
7.70,-283072,-2.109,-69017,-1.028,-214055,-3.190
7.75,-290093,-2.161,-73351,-1.093,-216742,-3.230
7.80,-295217,-2.200,-81162,-1.209,-214055,-3.190
7.85,-300932,-2.242,-90539,-1.349,-210393,-3.135
7.90,-299182,-2.229,-98310,-1.465,-200872,-2.993
7.95,-294142,-2.192,-99819,-1.487,-194323,-2.896
8.00,-271318,-2.022,-103433,-1.541,-167885,-2.502
08.05,-280736,-2.092,-118549,-1.767,-162187,-2.417
8.10,-294443,-2.194,-125822,-1.875,-168621,-2.513
8.15,-270225,-2.013,-119725,-1.784,-150500,-2.243
8.20,-286143,-2.132,-159278,-2.373,-126865,-1.890
8.25,-318713,-2.375,-175370,-2.613,-143343,-2.136
8.30,-324029,-2.414,-172404,-2.569,-151625,-2.259
8.35,-323764,-2.412,-183023,-2.727,-140741,-2.097
8.40,-322875,-2.406,-195818,-2.918,-127057,-1.893
8.45,-310830,-2.316,-191125,-2.848,-119705,-1.784
8.50,-328965,-2.451,-209059,-3.115,-119906,-1.787
8.55,-371312,-2.767,-238428,-3.553,-132884,-1.980
8.60,-411509,-3.066,-253078,-3.771,-158431,-2.361
8.65,-415616,-3.097,-262794,-3.916,-152822,-2.277
8.70,-410448,-3.058,-255757,-3.811,-154691,-2.305
8.75,-420021,-3.129,-258270,-3.849,-161751,-2.410
8.80,-444096,-3.309,-272586,-4.062,-171510,-2.556
8.85,-451566,-3.365,-281398,-4.193,-170168,-2.536
8.90,-459838,-3.426,-281683,-4.198,-178155,-2.655
8.95,-459194,-3.421,-291077,-4.338,-168117,-2.505
9.00,-451620,-3.365,-292156,-4.354,-159464,-2.376
09.05,-451019,-3.360,-282958,-4.217,-168061,-2.504
9.10,-457669,-3.410,-288381,-4.297,-169288,-2.523
9.15,-444761,-3.314,-276132,-4.115,-168629,-2.513
9.20,-445811,-3.322,-283490,-4.224,-162321,-2.419
9.25,-460656,-3.432,-297152,-4.428,-163504,-2.436
9.30,-446643,-3.328,-300402,-4.476,-146241,-2.179
