"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.031, -0.091, 0.091, 3.695, -3.092, -0.603]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.04, 0.629, -0.375, -0.962, 2.305, -0.344],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.025, -0.128, 0.095, 3.626, -2.969, -0.595]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-1.019, 0.591, -0.447, -0.405, 3, -0.191],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.027, -0.11, 0.118, 3.679, -3.076, -0.618]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.974, 0.564, -0.539, -0.313, 3.107, -0.588],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.035, -0.083, 0.153, 3.733, -3.092, -0.595]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.907, 0.542, -0.64, -1.244, 3.298, -0.84],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.03, -0.051, 0.148, 3.672, -3.008, -0.641]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.788, 0.513, -0.773, -1.725, 3.489, -0.924],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.01, -0.053, 0.129, 3.687, -3.031, -0.634]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.613, 0.494, -0.84, -1.74, 3.359, -0.885],""[-1.017, -0.048, 0.134, 3.779, -2.947, -0.618]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.453, 0.489, -1.03, -2.107, 3.626, -0.962],""[-1.02, -0.053, 0.126, 3.779, -2.931, -0.595]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
